scenario,year,mean,lo,hi
fit_party_both,1994,0.5128361225128174,0.512685889005661,0.5129053294658661
fit_party_both,1995,0.5126460552215576,0.5124958515167236,0.5127884089946747
fit_party_both,1996,0.5123798012733459,0.5122511923313141,0.5124891877174378
fit_party_both,1997,0.5123371720314026,0.512263947725296,0.5124669075012207
fit_party_both,1998,0.5122867703437806,0.512174928188324,0.5125684976577759
fit_party_both,1999,0.5121698498725891,0.5120180249214172,0.5123404800891876
fit_party_both,2000,0.5121748447418213,0.5120069146156311,0.5123128831386566
fit_party_both,2001,0.5121267437934875,0.5120219349861145,0.5122364163398743
fit_party_both,2002,0.5122061610221863,0.5120429396629333,0.5123837113380432
fit_party_both,2003,0.5123217701911926,0.5122266292572022,0.5124022185802459
fit_party_both,2004,0.5123518705368042,0.5122973322868347,0.5124465227127075
fit_party_both,2005,0.5124619245529175,0.5122892439365387,0.512601637840271
fit_party_both,2006,0.5126282095909118,0.512480229139328,0.5127674460411071
fit_party_both,2007,0.5128949999809265,0.5127028822898865,0.5129854023456574
fit_party_both,2008,0.5130186796188354,0.512781149148941,0.5132758140563964
fit_party_both,2009,0.5133752584457397,0.5131466269493103,0.5134986758232116
fit_party_both,2010,0.5135591149330139,0.5134529888629913,0.5137352347373962
fit_party_both,2011,0.5138569235801697,0.5137027621269226,0.5141576409339905
fit_party_both,2012,0.5143539309501648,0.5141924679279327,0.5145414471626282
fit_party_both,2013,0.5147187352180481,0.514590835571289,0.5148091554641724
fit_party_both,2014,0.5151468873023987,0.514965045452118,0.515257602930069
fit_party_both,2015,0.5153566718101501,0.5152845561504364,0.5154319405555725
fit_party_both,2016,0.5159814357757568,0.5158995270729065,0.5161178708076477
fit_party_both,2017,0.5165114045143128,0.516381025314331,0.5167127788066864
fit_party_both,2018,0.5170799374580384,0.516947865486145,0.5172216951847076
fit_party_both,2019,0.517481803894043,0.5173658072948456,0.517668616771698
fit_party_both,2020,0.5180474162101746,0.5179185688495636,0.5181322216987609
fit_party_both,2022,0.5194710969924927,0.5192005217075348,0.5196753025054932
fit_party_both,2023,0.5200752854347229,0.5198896765708924,0.5202724635601044
fit_party_both,2024,0.5207744121551514,0.5205770850181579,0.5210835814476014
fit_party_cont_only,1994,0.5129331231117249,0.51288041472435,0.5129576206207276
fit_party_cont_only,1995,0.5127403378486634,0.5125249862670899,0.5128908932209015
fit_party_cont_only,1996,0.5125073790550232,0.5123916506767273,0.5125870764255523
fit_party_cont_only,1997,0.512415885925293,0.5121948301792145,0.5125490069389343
fit_party_cont_only,1998,0.5123991131782532,0.5123168051242828,0.5124652981758118
fit_party_cont_only,1999,0.512247109413147,0.5120532989501954,0.5123723387718201
fit_party_cont_only,2000,0.512211287021637,0.5120989441871643,0.5123539984226226
