modality,mean_topic_corr,min_topic_corr,max_topic_corr,overall_corr,rmse
Language A,0.1681264459828721,0.02011994589771887,0.3784284702727675,0.18182810859452,0.14279679928801337
Language B,0.21764771603648272,0.042202450441828514,0.3113089386428666,0.2206732345607496,0.14098297417646372
Bilingual (A+B),0.0908289174987947,0.056422673495072725,0.11700277253392216,0.08373196806210095,0.3879329794856043
