modality,correlation,rmse,coverage_95
Votes Only,0.057200047957336776,0.957403610734068,0.982
Text Only,0.3993182807641049,0.8791989475461319,0.914
Votes + Text,0.34659662612663916,0.8995310220302988,0.934
